#MACRO
0xFFFF0000	0xFFFFFFFF	_	p	vnop	
0xD0180080	0xFFFF8080	_	p	vnrcp.p	%zp, %yp
0xD0188080	0xFFFF8080	_	p	vnrcp.q	%zq, %yq
0xD0180000	0xFFFF8080	_	p	vnrcp.s	%zs, %ys
0xD0188000	0xFFFF8080	_	p	vnrcp.t	%zt, %yt
0xD01A0080	0xFFFF8080	_	p	vnsin.p	%zp, %yp
0xD01A8080	0xFFFF8080	_	p	vnsin.q	%zq, %yq
0xD01A0000	0xFFFF8080	_	p	vnsin.s	%zs, %ys
0xD01A8000	0xFFFF8080	_	p	vnsin.t	%zt, %yt
0xD0440080	0xFFFF8080	_	p	vocp.p	%zp, %yp
0xD0448080	0xFFFF8080	_	p	vocp.q	%zq, %yq
0xD0440000	0xFFFF8080	_	p	vocp.s	%zs, %ys
0xD0448000	0xFFFF8080	_	p	vocp.t	%zt, %yt
0xD0070080	0xFFFFFF80	_	p	vone.p	%zp
0xD0078080	0xFFFFFF80	_	p	vone.q	%zq
0xD0070000	0xFFFFFF80	_	p	vone.s	%zs
0xD0078000	0xFFFFFF80	_	p	vone.t	%zt
0xDE000000	0xFF000000	_	p	vpfxd	[%vp4, %vp5, %vp6, %vp7]
0xDC000000	0xFF000000	_	p	vpfxs	[%vp0, %vp1, %vp2, %vp3]
0xDD000000	0xFF000000	_	p	vpfxt	[%vp0, %vp1, %vp2, %vp3]
0xF2808080	0xFF808080	_	p	vqmul.q	%zq, %yq, %xq
0xD0100080	0xFFFF8080	_	p	vrcp.p	%zp, %yp
0xD0108080	0xFFFF8080	_	p	vrcp.q	%zq, %yq
0xD0100000	0xFFFF8080	_	p	vrcp.s	%zs, %ys
0xD0108000	0xFFFF8080	_	p	vrcp.t	%zt, %yt
0xD01C0080	0xFFFF8080	_	p	vrexp2.p	%zp, %yp
0xD01C8080	0xFFFF8080	_	p	vrexp2.q	%zq, %yq
0xD01C0000	0xFFFF8080	_	p	vrexp2.s	%zs, %ys
0xD01C8000	0xFFFF8080	_	p	vrexp2.t	%zt, %yt
0xD0220080	0xFFFFFF80	_	p	vrndf1.p	%zp
0xD0228080	0xFFFFFF80	_	p	vrndf1.q	%zq
0xD0220000	0xFFFFFF80	_	p	vrndf1.s	%zs
0xD0228000	0xFFFFFF80	_	p	vrndf1.t	%zt
0xD0230080	0xFFFFFF80	_	p	vrndf2.p	%zp
0xD0238080	0xFFFFFF80	_	p	vrndf2.q	%zq
0xD0230000	0xFFFFFF80	_	p	vrndf2.s	%zs
0xD0238000	0xFFFFFF80	_	p	vrndf2.t	%zt
